t,date,layoff_share,joblosers_share,cpi_infl,log_claims,claims,credit_spr,vix,sentiment,log_oil,oil,layoff_share_lag1,joblosers_share_lag1,log_claims_lag1,credit_spr_lag1,vix_lag1,cpi_infl_lag1,sentiment_lag1,log_oil_lag1,layoff_share_lag2,joblosers_share_lag2,log_claims_lag2,credit_spr_lag2,vix_lag2,cpi_infl_lag2,sentiment_lag2,log_oil_lag2,layoff_share_lag3,joblosers_share_lag3,log_claims_lag3,credit_spr_lag3,vix_lag3,cpi_infl_lag3,sentiment_lag3,log_oil_lag3,layoff_share_lag4,joblosers_share_lag4,log_claims_lag4,credit_spr_lag4,vix_lag4,cpi_infl_lag4,sentiment_lag4,log_oil_lag4
16,1991-04-01,0.1607798165137615,0.5429013761467889,4.80993,13.05461972531781,467250.0,1.9000000000000004,17.37,81.8,3.0363942552728806,20.83,0.16177752293577982,0.5448967889908257,13.119559450071595,1.9800000000000004,17.74,4.82115,87.7,2.990719731730447,0.1757454128440367,0.539908256880734,13.089840185698769,2.2200000000000006,21.6,5.3125,70.4,3.019448800171307,0.1488073394495413,0.5269380733944954,12.993961662599805,2.3599999999999994,27.43,5.64706,66.8,3.2280337626529665,0.15080275229357798,0.5,13.028052697933088,2.3499999999999996,23.36,6.25495,65.5,3.3061538329752613
17,1991-05-01,0.1557912844036697,0.5359174311926606,5.03486,13.010313873595706,447000.0,1.7899999999999991,16.93,78.3,3.055415275715165,21.23,0.1607798165137615,0.5429013761467889,13.05461972531781,1.9000000000000004,17.37,4.80993,81.8,3.0363942552728806,0.16177752293577982,0.5448967889908257,13.119559450071595,1.9800000000000004,17.74,4.82115,87.7,2.990719731730447,0.1757454128440367,0.539908256880734,13.089840185698769,2.2200000000000006,21.6,5.3125,70.4,3.019448800171307,0.1488073394495413,0.5269380733944954,12.993961662599805,2.3599999999999994,27.43,5.64706,66.8,3.2280337626529665
18,1991-06-01,0.15279816513761468,0.5419036697247707,4.69592,12.968279362021613,428600.0,1.6800000000000015,17.14,82.1,3.005187432324746,20.19,0.1557912844036697,0.5359174311926606,13.010313873595706,1.7899999999999991,16.93,5.03486,78.3,3.055415275715165,0.1607798165137615,0.5429013761467889,13.05461972531781,1.9000000000000004,17.37,4.80993,81.8,3.0363942552728806,0.16177752293577982,0.5448967889908257,13.119559450071595,1.9800000000000004,17.74,4.82115,87.7,2.990719731730447,0.1757454128440367,0.539908256880734,13.089840185698769,2.2200000000000006,21.6,5.3125,70.4,3.019448800171307
19,1991-07-01,0.14182339449541284,0.5508830275229358,4.36782,12.94383461884907,418250.0,1.620000000000001,17.29,82.9,3.0633909220278057,21.4,0.15279816513761468,0.5419036697247707,12.968279362021613,1.6800000000000015,17.14,4.69592,82.1,3.005187432324746,0.1557912844036697,0.5359174311926606,13.010313873595706,1.7899999999999991,16.93,5.03486,78.3,3.055415275715165,0.1607798165137615,0.5429013761467889,13.05461972531781,1.9000000000000004,17.37,4.80993,81.8,3.0363942552728806,0.16177752293577982,0.5448967889908257,13.119559450071595,1.9800000000000004,17.74,4.82115,87.7,2.990719731730447
20,1991-08-01,0.1488073394495413,0.5478899082568807,3.79939,12.975254512366117,431600.0,1.75,15.68,82.0,3.076851324838783,21.69,0.14182339449541284,0.5508830275229358,12.94383461884907,1.620000000000001,17.29,4.36782,82.9,3.0633909220278057,0.15279816513761468,0.5419036697247707,12.968279362021613,1.6800000000000015,17.14,4.69592,82.1,3.005187432324746,0.1557912844036697,0.5359174311926606,13.010313873595706,1.7899999999999991,16.93,5.03486,78.3,3.055415275715165,0.1607798165137615,0.5429013761467889,13.05461972531781,1.9000000000000004,17.37,4.80993,81.8,3.0363942552728806
21,1991-09-01,0.13384174311926605,0.5538761467889908,3.39623,12.958667284733538,424500.0,1.8599999999999994,16.96,83.0,3.0860299115347716,21.89,0.1488073394495413,0.5478899082568807,12.975254512366117,1.75,15.68,3.79939,82.0,3.076851324838783,0.14182339449541284,0.5508830275229358,12.94383461884907,1.620000000000001,17.29,4.36782,82.9,3.0633909220278057,0.15279816513761468,0.5419036697247707,12.968279362021613,1.6800000000000015,17.14,4.69592,82.1,3.005187432324746,0.1557912844036697,0.5359174311926606,13.010313873595706,1.7899999999999991,16.93,5.03486,78.3,3.055415275715165
22,1991-10-01,0.13982798165137617,0.5419036697247707,2.84858,12.954536266760826,422750.0,1.96,16.36,78.3,3.145444546782318,23.23,0.13384174311926605,0.5538761467889908,12.958667284733538,1.8599999999999994,16.96,3.39623,83.0,3.0860299115347716,0.1488073394495413,0.5478899082568807,12.975254512366117,1.75,15.68,3.79939,82.0,3.076851324838783,0.14182339449541284,0.5508830275229358,12.94383461884907,1.620000000000001,17.29,4.36782,82.9,3.0633909220278057,0.15279816513761468,0.5419036697247707,12.968279362021613,1.6800000000000015,17.14,4.69592,82.1,3.005187432324746
23,1991-11-01,0.1368348623853211,0.5448967889908257,3.06657,13.006728033805404,445400.0,2.0299999999999994,17.77,69.1,3.111735949310297,22.46,0.13982798165137617,0.5419036697247707,12.954536266760826,1.96,16.36,2.84858,78.3,3.145444546782318,0.13384174311926605,0.5538761467889908,12.958667284733538,1.8599999999999994,16.96,3.39623,83.0,3.0860299115347716,0.1488073394495413,0.5478899082568807,12.975254512366117,1.75,15.68,3.79939,82.0,3.076851324838783,0.14182339449541284,0.5508830275229358,12.94383461884907,1.620000000000001,17.29,4.36782,82.9,3.0633909220278057
24,1991-12-01,0.13783256880733943,0.5548738532110092,2.98063,13.031891474240252,456750.0,2.17,18.35,68.2,2.970414465569701,19.5,0.1368348623853211,0.5448967889908257,13.006728033805404,2.0299999999999994,17.77,3.06657,69.1,3.111735949310297,0.13982798165137617,0.5419036697247707,12.954536266760826,1.96,16.36,2.84858,78.3,3.145444546782318,0.13384174311926605,0.5538761467889908,12.958667284733538,1.8599999999999994,16.96,3.39623,83.0,3.0860299115347716,0.1488073394495413,0.5478899082568807,12.975254512366117,1.75,15.68,3.79939,82.0,3.076851324838783
25,1992-01-01,0.13184633027522935,0.539908256880734,2.67261,12.992254692057308,439000.0,2.1000000000000005,17.68,67.5,2.933324813425374,18.79,0.13783256880733943,0.5548738532110092,13.031891474240252,2.17,18.35,2.98063,68.2,2.970414465569701,0.1368348623853211,0.5448967889908257,13.006728033805404,2.0299999999999994,17.77,3.06657,69.1,3.111735949310297,0.13982798165137617,0.5419036697247707,12.954536266760826,1.96,16.36,2.84858,78.3,3.145444546782318,0.13384174311926605,0.5538761467889908,12.958667284733538,1.8599999999999994,16.96,3.39623,83.0,3.0860299115347716
